number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_l2_reg,params_learning_rate,params_neurons,state
22,0.8609928488731384,2025-06-05 04:25:06.016073,2025-06-05 04:51:09.436162,0 days 00:26:03.420089,0.22578533310484566,0.00013169849427904483,0.00026347534248847844,440,COMPLETE
23,0.8642755150794983,2025-06-05 04:51:09.436162,2025-06-05 05:16:48.436947,0 days 00:25:39.000785,0.2209470761008071,0.00012029051101455114,0.00023735450983879448,436,COMPLETE
24,0.8689692616462708,2025-06-05 05:16:48.437953,2025-06-05 05:49:36.571204,0 days 00:32:48.133251,0.2446771395549327,0.0001275815457182201,0.00019068743457027846,442,COMPLETE
25,0.8451610803604126,2025-06-05 05:49:36.572211,2025-06-05 06:16:58.829695,0 days 00:27:22.257484,0.23763815700136576,0.00010313337426410405,0.000663142642363911,509,COMPLETE
26,0.8568589687347412,2025-06-05 06:16:58.830699,2025-06-05 06:39:34.189740,0 days 00:22:35.359041,0.24905533833183607,0.00023034422782181813,0.00022328366293337102,425,COMPLETE
27,0.8761361241340637,2025-06-05 06:39:34.189740,2025-06-05 07:03:11.804202,0 days 00:23:37.614462,0.2035600279586689,0.00010137549666193625,0.00011103307246744461,356,COMPLETE
28,0.8699145317077637,2025-06-05 07:03:11.805232,2025-06-05 07:30:20.930004,0 days 00:27:09.124772,0.2586971047652178,0.00027491909720597953,0.00010179370674278321,332,COMPLETE
29,0.8705618381500244,2025-06-05 07:30:20.931016,2025-06-05 08:02:15.007917,0 days 00:31:54.076901,0.21128838472822375,0.0003314621178782411,9.824637755792226e-05,334,COMPLETE
30,0.8698408007621765,2025-06-05 08:02:15.008917,2025-06-05 08:27:27.671788,0 days 00:25:12.662871,0.20511198160172028,0.00035938743677314046,8.536975612716044e-05,274,COMPLETE
31,0.8737730979919434,2025-06-05 08:27:27.672817,2025-06-05 08:49:26.083388,0 days 00:21:58.410571,0.20525443812399427,0.0001876949822421756,0.00011571722327737577,331,COMPLETE
32,0.8729076385498047,2025-06-05 08:49:26.083388,2025-06-05 09:12:37.615828,0 days 00:23:11.532440,0.20120053052024928,0.0001661606429683325,0.0001375210736486222,339,COMPLETE
33,0.869709849357605,2025-06-05 09:12:37.615828,2025-06-05 09:44:46.335442,0 days 00:32:08.719614,0.2063433419754661,0.00017358023052942105,0.0001476232798810796,352,COMPLETE
34,0.8350856900215149,2025-06-05 09:44:46.335442,2025-06-05 10:00:21.500929,0 days 00:15:35.165487,0.2649079920883346,0.00016677185012139824,0.0011490699170386457,285,COMPLETE
35,0.8685835003852844,2025-06-05 10:00:21.500929,2025-06-05 10:28:20.358769,0 days 00:27:58.857840,0.2333910992547957,0.00015639159604505183,0.0001374718997068606,313,COMPLETE
36,0.8662630915641785,2025-06-05 10:28:20.358769,2025-06-05 10:46:04.873206,0 days 00:17:44.514437,0.28999441834873607,0.00021019049390393372,6.374903406199302e-05,261,COMPLETE
37,0.8566364049911499,2025-06-05 10:46:04.874216,2025-06-05 11:06:56.119772,0 days 00:20:51.245556,0.2205167901203521,0.0001113971497811511,0.0003455841707496765,391,COMPLETE
38,0.8577704429626465,2025-06-05 11:06:56.120779,2025-06-05 11:34:47.518963,0 days 00:27:51.398184,0.2003050611482392,0.00010340402472283916,1.6924780095110998e-05,316,COMPLETE
39,0.874946117401123,2025-06-05 11:34:47.519971,2025-06-05 12:05:24.848501,0 days 00:30:37.328530,0.2655940182974489,0.00014522438116591063,7.52014691289766e-05,476,COMPLETE
40,0.8706815838813782,2025-06-05 12:05:24.849503,2025-06-05 12:33:26.310311,0 days 00:28:01.460808,0.2685417317399045,0.00014137629033289786,2.7783568984635406e-05,478,COMPLETE
41,0.8730227947235107,2025-06-05 12:33:26.311318,2025-06-05 13:01:23.687529,0 days 00:27:57.376211,0.24894175422167894,0.0002028946946435972,8.141573446684014e-05,370,COMPLETE
42,0.873264491558075,2025-06-05 13:01:23.688538,2025-06-05 13:35:21.475407,0 days 00:33:57.786869,0.2507704238870366,0.00020453513181029398,7.640344862354979e-05,415,COMPLETE
43,0.8729785680770874,2025-06-05 13:35:21.475880,2025-06-05 14:00:54.937458,0 days 00:25:33.461578,0.28629872525306244,0.0002792668408496823,4.753800179117912e-05,413,COMPLETE
44,0.862514078617096,2025-06-05 14:00:54.937458,2025-06-05 14:26:01.302810,0 days 00:25:06.365352,0.2992735010856534,0.00044886259343080614,0.00011456789073243516,463,COMPLETE
45,0.8754945993423462,2025-06-05 14:26:01.303811,2025-06-05 14:51:37.116574,0 days 00:25:35.812763,0.22926212064928878,0.00026557388722720963,6.916719275886515e-05,466,COMPLETE
46,0.8734748363494873,2025-06-05 14:51:37.116574,2025-06-05 15:19:43.309452,0 days 00:28:06.192878,0.2314687451756753,0.00014270840937207068,3.120118895274711e-05,482,COMPLETE
47,0.8758413791656494,2025-06-05 15:19:43.309452,2025-06-05 15:49:28.323809,0 days 00:29:45.014357,0.22030239504535118,0.00029956230561993205,5.304170705236641e-05,462,COMPLETE
48,0.863752543926239,2025-06-05 15:49:28.323809,2025-06-05 16:23:22.280239,0 days 00:33:53.956430,0.38020258856208655,0.0008201833930820498,4.989625374261042e-05,458,COMPLETE
49,0.8649500012397766,2025-06-05 16:23:22.281240,2025-06-05 16:55:23.812925,0 days 00:32:01.531685,0.2737180086036825,0.00027563781746562337,1.8957757438201415e-05,492,COMPLETE
