cancer_type,hugo_symbol,mutated_samples,total_samples,freq,CI_low,CI_high
COAD,ABCA9,18,440,0.04090909090909091,0.02240066287374457,0.059417518944437246
COAD,ABCB1,25,440,0.056818181818181816,0.035187455158226175,0.07844890847813746
COAD,ABCB10,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,ABCB11,22,440,0.05,0.029635369342455982,0.07036463065754403
COAD,ABCB4,20,440,0.045454545454545456,0.025991235464654615,0.06491785544443629
COAD,ABCB5,20,440,0.045454545454545456,0.025991235464654615,0.06491785544443629
COAD,ABCB6,6,440,0.013636363636363636,0.0027996512619208602,0.02447307601080641
COAD,ABCB7,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,ABCB8,13,440,0.029545454545454545,0.013723407544520227,0.04536750154638886
COAD,ABCB9,10,440,0.022727272727272728,0.008801757118373214,0.03665278833617224
COAD,ABCC1,23,440,0.05227272727272727,0.03147532931449201,0.07307012523096253
COAD,ABCC10,14,440,0.031818181818181815,0.015418105312523831,0.0482182583238398
COAD,ABCC11,15,440,0.03409090909090909,0.017135153367814727,0.05104666481400345
COAD,ABCC12,17,440,0.038636363636363635,0.02062810576350634,0.056644621509220935
COAD,ABCC2,10,440,0.022727272727272728,0.008801757118373214,0.03665278833617224
COAD,ABCC3,13,440,0.029545454545454545,0.013723407544520227,0.04536750154638886
COAD,ABCC4,16,440,0.03636363636363636,0.0188724214387316,0.053854851288541124
COAD,ABCC5,18,440,0.04090909090909091,0.02240066287374457,0.059417518944437246
COAD,ABCC6,11,440,0.025,0.01041178869460313,0.03958821130539687
COAD,ABCC8,19,440,0.04318181818181818,0.02418875972031669,0.06217487664331968
COAD,ABCC9,15,440,0.03409090909090909,0.017135153367814727,0.05104666481400345
COAD,ABCD1,13,440,0.029545454545454545,0.013723407544520227,0.04536750154638886
COAD,ABCD2,12,440,0.02727272727272727,0.012053606474656644,0.0424918480707979
COAD,ABCD3,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,ABCD4,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,ABCE1,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,ABCF1,6,440,0.013636363636363636,0.0027996512619208602,0.02447307601080641
COAD,ABCF2,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,ABCF3,13,440,0.029545454545454545,0.013723407544520227,0.04536750154638886
COAD,ABCG1,6,440,0.013636363636363636,0.0027996512619208602,0.02447307601080641
COAD,ABCG2,12,440,0.02727272727272727,0.012053606474656644,0.0424918480707979
COAD,ABCG4,12,440,0.02727272727272727,0.012053606474656644,0.0424918480707979
COAD,ABCG5,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,ABCG8,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,ABHD1,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,ABHD10,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,ABHD11,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,ABHD12,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,ABHD12B,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,ABHD13,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,ABHD14A-ACY1,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,ABHD15,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,ABHD16A,6,440,0.013636363636363636,0.0027996512619208602,0.02447307601080641
COAD,ABHD16B,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,ABHD17A,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,ABHD17B,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,ABHD17C,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,ABHD18,11,440,0.025,0.01041178869460313,0.03958821130539687
COAD,ABHD2,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,ABHD3,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,ABHD4,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,ABHD5,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,ABHD6,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,ABHD8,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,ABI1,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,ABI2,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,ABI3,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,ABI3BP,18,440,0.04090909090909091,0.02240066287374457,0.059417518944437246
COAD,ABITRAM,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,ABL1,16,440,0.03636363636363636,0.0188724214387316,0.053854851288541124
COAD,ABL2,20,440,0.045454545454545456,0.025991235464654615,0.06491785544443629
COAD,ABLIM1,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,ABLIM2,13,440,0.029545454545454545,0.013723407544520227,0.04536750154638886
COAD,ABLIM3,9,440,0.020454545454545454,0.007228288784018808,0.0336808021250721
COAD,ABO,6,440,0.013636363636363636,0.0027996512619208602,0.02447307601080641
COAD,ABR,14,440,0.031818181818181815,0.015418105312523831,0.0482182583238398
COAD,ABRA,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,ABRACL,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,ABRAXAS1,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,ABRAXAS2,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,ABT1,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,ABTB1,11,440,0.025,0.01041178869460313,0.03958821130539687
