Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Oncogene Induced Senescence R-HSA-2559585,1/33,0.0163815476907073,0.0513288494308828,0,0,69.29861111111111,284.9281499305533,TP53
Reactome_2022,CD28 Co-Stimulation R-HSA-389356,1/34,0.0168741674533513,0.0521767019939154,0,0,67.1952861952862,274.2892350890436,PIK3CA
Reactome_2022,Regulation Of TP53 Degradation R-HSA-6804757,1/36,0.0178587410119325,0.0538051812538993,0,0,63.34920634920635,254.99716559529236,TP53
Reactome_2022,Signaling By FGFR1 In Disease R-HSA-5655302,1/36,0.0178587410119325,0.0538051812538993,0,0,63.34920634920635,254.99716559529236,PIK3CA
Reactome_2022,FLT3 Signaling R-HSA-9607240,1/37,0.0183506949831896,0.0539051665131195,0,0,61.58641975308642,246.2279153977221,PIK3CA
Reactome_2022,Regulation Of TP53 Expression And Degradation R-HSA-6806003,1/37,0.0183506949831896,0.0539051665131195,0,0,61.58641975308642,246.2279153977221,TP53
Reactome_2022,Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471,1/38,0.0188424272009397,0.054088992514312,0,0,59.91891891891892,237.97662594437213,TP53
Reactome_2022,Ovarian Tumor Domain Proteases R-HSA-5689896,1/39,0.0193339377497966,0.054088992514312,0,0,58.33918128654971,230.20018425524987,TP53
Reactome_2022,Transcriptional Regulation By VENTX R-HSA-8853884,1/39,0.0193339377497966,0.054088992514312,0,0,58.33918128654971,230.20018425524987,TP53
Reactome_2022,Signaling By FGFR3 R-HSA-5654741,1/39,0.0193339377497966,0.054088992514312,0,0,58.33918128654971,230.20018425524987,PIK3CA
Reactome_2022,RET Signaling R-HSA-8853659,1/40,0.019825226718581,0.054173584637983,0,0,56.84045584045584,222.8600635525676,PIK3CA
Reactome_2022,Signaling By FGFR4 R-HSA-5654743,1/40,0.019825226718581,0.054173584637983,0,0,56.84045584045584,222.8600635525676,PIK3CA
Reactome_2022,Signaling By Interleukins R-HSA-449147,2/453,0.0204231942122128,0.0544704213780518,0,0,10.830931263858092,42.14406391785023,PIK3CA;TP53
Reactome_2022,Signaling By FGFR2 In Disease R-HSA-5655253,1/42,0.0208071402680988,0.0544704213780518,0,0,54.06233062330623,209.35416251688036,PIK3CA
Reactome_2022,Signaling By SCF-KIT R-HSA-1433557,1/42,0.0208071402680988,0.0544704213780518,0,0,54.06233062330623,209.35416251688036,PIK3CA
Reactome_2022,DAP12 Interactions R-HSA-2172127,1/43,0.0212977650246516,0.0544704213780518,0,0,52.77248677248677,203.12938317607103,PIK3CA
Reactome_2022,PI3K Cascade R-HSA-109704,1/44,0.0217881685512207,0.0544704213780518,0,0,51.542635658914726,197.22213203300183,PIK3CA
Reactome_2022,TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,1/44,0.0217881685512207,0.0544704213780518,0,0,51.542635658914726,197.22213203300183,TP53
Reactome_2022,Interleukin-2 Family Signaling R-HSA-451927,1/44,0.0217881685512207,0.0544704213780518,0,0,51.542635658914726,197.22213203300183,PIK3CA
Reactome_2022,"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",1/44,0.0217881685512207,0.0544704213780518,0,0,51.542635658914726,197.22213203300183,PIK3CA
Reactome_2022,TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989,1/45,0.0222783509374741,0.055109604950594,0,0,50.36868686868687,191.60953052295557,TP53
Reactome_2022,IRS-mediated Signaling R-HSA-112399,1/47,0.0232580526351399,0.0569337746797695,0,0,48.17391304347826,181.18709015535836,PIK3CA
Reactome_2022,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,1/49,0.0242368708211977,0.0569566464298146,0,0,46.16203703703704,171.71724838044534,TP53
Reactome_2022,Signaling By EGFR R-HSA-177929,1/49,0.0242368708211977,0.0569566464298146,0,0,46.16203703703704,171.71724838044534,PIK3CA
Reactome_2022,Signaling By ERBB2 R-HSA-1227986,1/49,0.0242368708211977,0.0569566464298146,0,0,46.16203703703704,171.71724838044534,PIK3CA
Reactome_2022,Signaling By FGFR1 R-HSA-5654736,1/49,0.0242368708211977,0.0569566464298146,0,0,46.16203703703704,171.71724838044534,PIK3CA
Reactome_2022,Ion Homeostasis R-HSA-5578775,1/50,0.024725948817258,0.0569757640024811,0,0,45.21768707482993,167.3010120823387,RYR2
Reactome_2022,Synthesis Of PIPs At Plasma Membrane R-HSA-1660499,1/51,0.0252148061968427,0.0569757640024811,0,0,44.31111111111111,163.07924167915206,PIK3CA
Reactome_2022,Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,1/51,0.0252148061968427,0.0569757640024811,0,0,44.31111111111111,163.07924167915206,TP53
Reactome_2022,IRS-related Events Triggered By IGF1R R-HSA-2428928,1/51,0.0252148061968427,0.0569757640024811,0,0,44.31111111111111,163.07924167915206,PIK3CA
Reactome_2022,IGF1R Signaling Cascade R-HSA-2428924,1/52,0.0257034430516592,0.056984048274905,0,0,43.4400871459695,159.03982037824832,PIK3CA
Reactome_2022,Signaling By PDGF R-HSA-186797,1/52,0.0257034430516592,0.056984048274905,0,0,43.4400871459695,159.03982037824832,PIK3CA
Reactome_2022,Insulin Receptor Signaling Cascade R-HSA-74751,1/53,0.0261918594705427,0.0569915460701625,0,0,42.6025641025641,155.17160141847094,PIK3CA
Reactome_2022,Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192,1/53,0.0261918594705427,0.0569915460701625,0,0,42.6025641025641,155.17160141847094,PIK3CA
Reactome_2022,Intrinsic Pathway For Apoptosis R-HSA-109606,1/55,0.0271680313352525,0.0580407942162213,0,0,41.02057613168724,147.90847858667095,TP53
Reactome_2022,Signaling By ALK Fusions And Activated Point Mutants R-HSA-9725370,1/55,0.0271680313352525,0.0580407942162213,0,0,41.02057613168724,147.90847858667095,PIK3CA
Reactome_2022,Stabilization Of P53 R-HSA-69541,1/56,0.0276557869621033,0.0584208126906805,0,0,40.27272727272727,144.49533489369065,TP53
Reactome_2022,Regulated Necrosis R-HSA-5218859,1/57,0.0281433225032358,0.0584208126906805,0,0,39.5515873015873,141.21677360109922,TP53
Reactome_2022,Signaling By ERBB4 R-HSA-1236394,1/57,0.0281433225032358,0.0584208126906805,0,0,39.5515873015873,141.21677360109922,PIK3CA
Reactome_2022,O-linked Glycosylation Of Mucins R-HSA-913709,1/59,0.0291177336711439,0.0584208126906805,0,0,38.18390804597701,135.03387352863817,MUC16
Reactome_2022,Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276,1/59,0.0291177336711439,0.0584208126906805,0,0,38.18390804597701,135.03387352863817,TP53
Reactome_2022,Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,1/60,0.0296046094730556,0.0584208126906805,0,0,37.53483992467044,132.1160756075347,TP53
Reactome_2022,Meiotic Synapsis R-HSA-1221632,1/60,0.0296046094730556,0.0584208126906805,0,0,37.53483992467044,132.1160756075347,SYNE1
Reactome_2022,Regulation Of PTEN Gene Transcription R-HSA-8943724,1/61,0.030091265543298,0.0584208126906805,0,0,36.907407407407405,129.30585220246812,TP53
Reactome_2022,DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,1/61,0.030091265543298,0.0584208126906805,0,0,36.907407407407405,129.30585220246812,TP53
Reactome_2022,DNA Double Strand Break Response R-HSA-5693606,1/61,0.030091265543298,0.0584208126906805,0,0,36.907407407407405,129.30585220246812,TP53
Reactome_2022,Signaling By FGFR In Disease R-HSA-1226099,1/61,0.030091265543298,0.0584208126906805,0,0,36.907407407407405,129.30585220246812,PIK3CA
Reactome_2022,TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648,1/62,0.0305777019615051,0.0584208126906805,0,0,36.30054644808743,126.59758326788086,TP53
Reactome_2022,Pre-NOTCH Transcription And Translation R-HSA-1912408,1/62,0.0305777019615051,0.0584208126906805,0,0,36.30054644808743,126.59758326788086,TP53
Reactome_2022,Signaling By MET R-HSA-6806834,1/63,0.0310639188209322,0.0588711364751538,0,0,35.71326164874552,123.9860268803296,PIK3CA
Reactome_2022,Hemostasis R-HSA-109582,2/576,0.0319675084808714,0.0597491122037162,0,0,8.456445993031359,29.11584166049152,PIK3CA;TP53
Reactome_2022,p53-Dependent G1 DNA Damage Response R-HSA-69563,1/65,0.0320356942028436,0.0597491122037162,0,0,34.59375,119.03379191454992,TP53
Reactome_2022,G1/S DNA Damage Checkpoints R-HSA-69615,1/67,0.0330065923938031,0.0610751906499507,0,0,33.54208754208754,114.4136695514984,TP53
Reactome_2022,Costimulation By CD28 Family R-HSA-388841,1/68,0.0334917127632155,0.061488691401216,0,0,33.03980099502488,112.21827165973409,PIK3CA
Reactome_2022,Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995,1/69,0.033976614095502,0.0618953822669997,0,0,32.552287581699346,110.09453231300331,MUC16
Reactome_2022,Diseases Of Programmed Cell Death R-HSA-9645723,1/71,0.0349457600054768,0.063171181548362,0,0,31.61904761904762,106.04896194083372,TP53
Reactome_2022,Signaling By FGFR2 R-HSA-5654738,1/72,0.0354300047601861,0.0635576421270515,0,0,31.172143974960875,104.12107765370268,PIK3CA
Reactome_2022,Extra-nuclear Estrogen Signaling R-HSA-9009391,1/73,0.0359140308301434,0.0639378579173009,0,0,30.73765432098765,102.2527178173034,PIK3CA
Reactome_2022,G2/M DNA Damage Checkpoint R-HSA-69473,1/77,0.0378479500125182,0.0662335127387993,0,0,29.114035087719294,95.32454660857232,TP53
Reactome_2022,Signaling By Insulin Receptor R-HSA-74752,1/77,0.0378479500125182,0.0662335127387993,0,0,29.114035087719294,95.32454660857232,PIK3CA
Reactome_2022,Pre-NOTCH Expression And Processing R-HSA-1912422,1/78,0.038330883967986,0.0662335127387993,0,0,28.734487734487736,93.71751271850756,TP53
Reactome_2022,Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,1/78,0.038330883967986,0.0662335127387993,0,0,28.734487734487736,93.71751271850756,PIK3CA
Reactome_2022,TP53 Regulates Metabolic Genes R-HSA-5628897,1/81,0.039778377237952,0.0682329828534213,0,0,27.65277777777778,89.16449601956255,TP53
Reactome_2022,PI Metabolism R-HSA-1483255,1/82,0.0402604390785998,0.0682515915842242,0,0,27.310013717421125,87.73030443537515,PIK3CA
Reactome_2022,Cell Cycle R-HSA-1640170,2/654,0.0403700903413071,0.0682515915842242,0,0,7.414877300613497,23.79928035405648,TP53;SYNE1
Reactome_2022,Signaling By FGFR R-HSA-190236,1/86,0.0421865092184754,0.0706116794184924,0,0,26.01960784313725,82.36909635390154,PIK3CA
Reactome_2022,Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480,1/87,0.0426674828826635,0.0706116794184924,0,0,25.71576227390181,81.11569629500502,PIK3CA
Reactome_2022,RAC2 GTPase Cycle R-HSA-9013404,1/87,0.0426674828826635,0.0706116794184924,0,0,25.71576227390181,81.11569629500502,PIK3CA
Reactome_2022,Meiosis R-HSA-1500620,1/88,0.0431482391729825,0.0709079454940621,0,0,25.41890166028097,79.89449726957503,SYNE1
Reactome_2022,Chaperonin-mediated Protein Folding R-HSA-390466,1/90,0.0441090999770031,0.0714871620316947,0,0,24.845193508114857,77.54406436315156,TP53
Reactome_2022,Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756,1/90,0.0441090999770031,0.0714871620316947,0,0,24.845193508114857,77.54406436315156,TP53
Reactome_2022,Oxidative Stress Induced Senescence R-HSA-2559580,1/93,0.0455487630468527,0.0725948387760971,0,0,24.031400966183572,74.2323201774775,TP53
Reactome_2022,VEGFA-VEGFR2 Pathway R-HSA-4420097,1/93,0.0455487630468527,0.0725948387760971,0,0,24.031400966183572,74.2323201774775,PIK3CA
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,2/702,0.0459255703853183,0.0725948387760971,0,0,6.889285714285714,21.22405141737417,PIK3CA;TP53
Reactome_2022,Downstream TCR Signaling R-HSA-202424,1/94,0.0460282169261211,0.0725948387760971,0,0,23.77180406212664,73.18151447362185,PIK3CA
Reactome_2022,Transcriptional Regulation By RUNX3 R-HSA-8878159,1/95,0.0465074540299385,0.072643562493555,0,0,23.5177304964539,72.15575261450543,TP53
Reactome_2022,Protein Folding R-HSA-391251,1/96,0.0469864744639164,0.072643562493555,0,0,23.269005847953217,71.15418818005004,TP53
Reactome_2022,MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871,1/96,0.0469864744639164,0.072643562493555,0,0,23.269005847953217,71.15418818005004,TP53
Reactome_2022,Stimuli-sensing Channels R-HSA-2672351,1/100,0.0489003911418304,0.0743923652903641,0,0,22.32435465768799,67.37423003045056,RYR2
Reactome_2022,Disease R-HSA-1643685,3/1736,0.0492863757535896,0.0743923652903641,0,0,4.514961668452725,13.59052038680846,PIK3CA;MUC16;TP53
Reactome_2022,TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138,1/101,0.0493783294859182,0.0743923652903641,0,0,22.1,66.48218412151981,TP53
Reactome_2022,MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,1/102,0.0498560516752303,0.0743923652903641,0,0,21.88008800880088,65.60996868685889,TP53
Reactome_2022,Signaling By VEGF R-HSA-194138,1/102,0.0498560516752303,0.0743923652903641,0,0,21.88008800880088,65.60996868685889,PIK3CA
Reactome_2022,Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164,1/103,0.0503335577922038,0.0743923652903641,0,0,21.664488017429196,64.75695871628933,TP53
Reactome_2022,Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181,1/103,0.0503335577922038,0.0743923652903641,0,0,21.664488017429196,64.75695871628933,TP53
